Format Version,1.2,Take Name,Take 2016-04-17 05.34.28 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-17 05.34.28.916 PM,Total Frames,3813,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,4.237421,-24.349176,2.711982,-0.020874,0.951972,-0.281365,0.000130,-0.003917,0.998964,-0.247562,0.973403,-0.025383,0.931326,-0.357375,0.977063,-0.033324,0.925627,-0.239158,0.955451,16.987362,10.625413,-3.178818,-0.045165,0.630762,-0.273101,0.000207,-0.027104,0.619194,-0.237659,0.976413,-0.048118,0.651929,-0.268606,0.926891,-0.060273,0.621163,-0.313037,0.945238,-0.003885,0.998828,-0.247799,-0.025243,0.931272,-0.357665,-0.033260,0.925708,-0.239273,-0.026925,0.619072,-0.237756,-0.048064,0.651786,-0.268919,-0.060448,0.621357,-0.312989,-0.030162,0.564664,-0.271461
17,0.141667,4.244775,-24.346912,2.710078,-0.020851,0.951975,-0.281348,0.000127,-0.003891,0.998962,-0.247539,0.973638,-0.025364,0.931340,-0.357361,0.976627,-0.033299,0.925624,-0.239144,0.954262,16.992359,10.628103,-3.178041,-0.045151,0.630765,-0.273099,0.000205,-0.027088,0.619194,-0.237660,0.976067,-0.048104,0.651932,-0.268602,0.925008,-0.060260,0.621169,-0.313035,0.944979,-0.003861,0.998825,-0.247775,-0.025221,0.931285,-0.357650,-0.033234,0.925698,-0.239261,-0.026909,0.619071,-0.237759,-0.048051,0.651790,-0.268917,-0.060428,0.621359,-0.312989,-0.030156,0.564664,-0.271465
18,0.150000,4.255364,-24.348125,2.711832,-0.020816,0.951968,-0.281335,0.000127,-0.003858,0.998950,-0.247517,0.973084,-0.025327,0.931346,-0.357351,0.976985,-0.033265,0.925610,-0.239136,0.954837,16.994455,10.629289,-3.176246,-0.045137,0.630769,-0.273095,0.000201,-0.027074,0.619197,-0.237656,0.976159,-0.048091,0.651935,-0.268597,0.927383,-0.060246,0.621174,-0.313031,0.945835,-0.003828,0.998824,-0.247756,-0.025197,0.931296,-0.357634,-0.033217,0.925703,-0.239251,-0.026897,0.619078,-0.237754,-0.048039,0.651794,-0.268904,-0.060415,0.621363,-0.312991,-0.030148,0.564668,-0.271466
19,0.158333,4.261804,-24.343277,2.711375,-0.020792,0.951979,-0.281315,0.000128,-0.003830,0.998956,-0.247494,0.973084,-0.025308,0.931365,-0.357334,0.976985,-0.033236,0.925615,-0.239119,0.954837,16.994843,10.624236,-3.170664,-0.045126,0.630774,-0.273093,0.000199,-0.027066,0.619203,-0.237652,0.976159,-0.048082,0.651941,-0.268595,0.927383,-0.060230,0.621180,-0.313031,0.945835,-0.003803,0.998829,-0.247729,-0.025179,0.931315,-0.357617,-0.033184,0.925708,-0.239230,-0.026892,0.619084,-0.237750,-0.048032,0.651803,-0.268899,-0.060396,0.621365,-0.312996,-0.030133,0.564674,-0.271461
20,0.166667,4.251968,-24.346239,2.686990,-0.020783,0.952002,-0.281291,0.000129,-0.003804,0.998972,-0.247469,0.973105,-0.025306,0.931390,-0.357310,0.976739,-0.033239,0.925643,-0.239095,0.953838,16.998817,10.625374,-3.174136,-0.045115,0.630782,-0.273081,0.000198,-0.027054,0.619208,-0.237642,0.975902,-0.048069,0.651948,-0.268582,0.928367,-0.060221,0.621190,-0.313019,0.946559,-0.003773,0.998835,-0.247708,-0.025157,0.931333,-0.357604,-0.033166,0.925715,-0.239211,-0.026881,0.619089,-0.237742,-0.048010,0.651802,-0.268893,-0.060388,0.621379,-0.312975,-0.030123,0.564676,-0.271448
21,0.175000,4.268898,-24.342413,2.699082,-0.020743,0.951998,-0.281273,0.000125,-0.003771,0.998965,-0.247442,0.972658,-0.025266,0.931402,-0.357296,0.977928,-0.033191,0.925628,-0.239081,0.955522,16.996759,10.617238,-3.176056,-0.045105,0.630789,-0.273072,0.000201,-0.027050,0.619215,-0.237630,0.977323,-0.048059,0.651955,-0.268574,0.926439,-0.060207,0.621197,-0.313012,0.945485,-0.003744,0.998840,-0.247675,-0.025138,0.931351,-0.357571,-0.033133,0.925720,-0.239197,-0.026876,0.619096,-0.237729,-0.048004,0.651812,-0.268886,-0.060375,0.621386,-0.312966,-0.030111,0.564678,-0.271439
22,0.183333,4.273468,-24.342741,2.691437,-0.020724,0.952008,-0.281245,0.000126,-0.003747,0.998968,-0.247408,0.973445,-0.025250,0.931422,-0.357270,0.977227,-0.033176,0.925634,-0.239057,0.954860,17.000542,10.614170,-3.167835,-0.045095,0.630793,-0.273060,0.000196,-0.027041,0.619218,-0.237617,0.978658,-0.048051,0.651959,-0.268560,0.927948,-0.060192,0.621203,-0.313002,0.946047,-0.003719,0.998842,-0.247642,-0.025116,0.931369,-0.357551,-0.033120,0.925722,-0.239170,-0.026872,0.619103,-0.237715,-0.047993,0.651813,-0.268868,-0.060360,0.621392,-0.312956,-0.030102,0.564685,-0.271426
23,0.191667,4.277499,-24.343437,2.679456,-0.020697,0.952014,-0.281218,0.000126,-0.003711,0.998966,-0.247373,0.973445,-0.025227,0.931441,-0.357247,0.977227,-0.033154,0.925635,-0.239034,0.954860,16.993174,10.617312,-3.172288,-0.045082,0.630798,-0.273049,0.000197,-0.027026,0.619227,-0.237606,0.978658,-0.048037,0.651964,-0.268552,0.927948,-0.060182,0.621203,-0.312989,0.946047,-0.003686,0.998842,-0.247606,-0.025094,0.931390,-0.357525,-0.033097,0.925725,-0.239146,-0.026857,0.619110,-0.237705,-0.047983,0.651822,-0.268860,-0.060347,0.621390,-0.312938,-0.030090,0.564689,-0.271417
24,0.200000,4.274335,-24.341286,2.667941,-0.020668,0.952018,-0.281200,0.000125,-0.003671,0.998966,-0.247355,0.973333,-0.025205,0.931448,-0.357229,0.977327,-0.033127,0.925640,-0.239016,0.954944,17.005171,10.617524,-3.161994,-0.045068,0.630795,-0.273044,0.000199,-0.027012,0.619219,-0.237603,0.978800,-0.048027,0.651960,-0.268542,0.926874,-0.060165,0.621207,-0.312987,0.946425,-0.003663,0.998837,-0.247568,-0.025076,0.931405,-0.357499,-0.033078,0.925726,-0.239127,-0.026839,0.619100,-0.237701,-0.047968,0.651815,-0.268852,-0.060332,0.621396,-0.312940,-0.030073,0.564685,-0.271413
25,0.208333,4.288236,-24.344038,2.663315,-0.020652,0.952022,-0.281164,0.000124,-0.003653,0.998959,-0.247305,0.973144,-0.025188,0.931473,-0.357199,0.978222,-0.033115,0.925634,-0.238988,0.955718,16.999971,10.614075,-3.167550,-0.045054,0.630798,-0.273036,0.000200,-0.027001,0.619223,-0.237593,0.979295,-0.048011,0.651964,-0.268536,0.925940,-0.060151,0.621207,-0.312978,0.945021,-0.003630,0.998835,-0.247538,-0.025054,0.931421,-0.357476,-0.033050,0.925720,-0.239106,-0.026832,0.619108,-0.237691,-0.047951,0.651816,-0.268850,-0.060324,0.621401,-0.312924,-0.030062,0.564686,-0.271409
